id,song_name,popularity,song_duration_ms,explicit,id_artists,release_date,song_danceability,song_energy,song_key,song_loudness,song_mode,song_speechiness,song_acousticness,song_instrumentalness,song_liveness,song_valence,song_tempo,song_time_signature,artistes_followers,artistes_genres,artiste_name,artiste_popularity,genre_name,genre_mode,genre_acousticness,genre_danceability,genre_duration_ms,genre_energy,genre_instrumentalness,genre_liveness,genre_loudness,genre_speechiness,genre_tempo,genre_valence,genre_popularity,genre_key
4wNIkl5XGiAACjFBlDWuSd,What A Man Gotta Do,82,180645,0,['7gOdHgIoIKoe4i9Tta6qdD'],2020-01-17,0.852,0.698,9,-7.206,1,0.0629,0.00839,1.03e-06,0.0773,0.324,113.039,4,5149142.0,"['boy band', 'dance pop', 'pop', 'pop rock', 'post-teen pop']",Jonas Brothers,80,pop,1,0.276872832108396,0.628348760934272,216336.259141607,0.611041167095579,0.0252984321067217,0.175072549176497,-6.97741263882268,0.08578437253634,119.649666093626,0.479474178078711,60.7459086908537,1
6XNANAB7sFvkfho6bMCp7o,Summertime In Paris,76,270960,1,"['0xOeVMOz2fVg5BJY3N6akT', '3rWZHrfrsPBxVy692yAIxF']",2019-07-05,0.569,0.86,9,-4.116,1,0.043,0.135,0.0,0.153,0.289,90.937,4,1500909.0,"['hip hop', 'pop', 'pop rap', 'rap']",Jaden,78,pop,1,0.276872832108396,0.628348760934272,216336.259141607,0.611041167095579,0.0252984321067217,0.175072549176497,-6.97741263882268,0.08578437253634,119.649666093626,0.479474178078711,60.7459086908537,1
6XNANAB7sFvkfho6bMCp7o,Summertime In Paris,76,270960,1,"['0xOeVMOz2fVg5BJY3N6akT', '3rWZHrfrsPBxVy692yAIxF']",2019-07-05,0.569,0.86,9,-4.116,1,0.043,0.135,0.0,0.153,0.289,90.937,4,1500909.0,"['hip hop', 'pop', 'pop rap', 'rap']",Jaden,78,rap,1,0.146257012502355,0.728287178698836,242422.228699424,0.66967045208239,0.0208346665719535,0.209076741649189,-7.35416547912111,0.204598125420429,116.208870606968,0.553397938986061,52.397892468801,1
03tqyYWC9Um2ZqU0ZN849H,No Hands (feat. Roscoe Dash & Wale),78,263773,1,"['6f4XkbvYlXMH0QgVRzW0sM', '0bfX8pF8kuHNCs57Ms4jZb', '67nwj3Y5sZQLl72VNUHEYE']",2010-10-01,0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497,4,2147397.0,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Waka Flocka Flame,71,rap,1,0.146257012502355,0.728287178698836,242422.228699424,0.66967045208239,0.0208346665719535,0.209076741649189,-7.35416547912111,0.204598125420429,116.208870606968,0.553397938986061,52.397892468801,1
03tqyYWC9Um2ZqU0ZN849H,No Hands (feat. Roscoe Dash & Wale),78,263773,1,"['6f4XkbvYlXMH0QgVRzW0sM', '0bfX8pF8kuHNCs57Ms4jZb', '67nwj3Y5sZQLl72VNUHEYE']",2010-10-01,0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497,4,2147397.0,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Waka Flocka Flame,71,trap,1,0.136282835674064,0.728208371859371,233752.254308739,0.656015948384683,0.0100215785153332,0.203756214117458,-6.56227110602445,0.192501948990849,121.997149315184,0.518231708319794,54.1955772965581,1
1PS1QMdUqOal0ai3Gt7sDQ,Gold Digger,79,207627,1,"['5K4W6rqBFWDnAN6FQUkS6x', '7LnaAXbDVIL75IVPnndf7w']",2005-08-30,0.629,0.696,1,-5.572,0,0.348,0.0195,0.0,0.0554,0.623,93.034,4,791641.0,"['hip hop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary']",Jamie Foxx,71,r&b,1,0.233348871159165,0.661261288711762,255282.189102732,0.585761575478262,0.013407294202512,0.167639941025081,-7.67984134749186,0.106403015826923,115.908006463022,0.52283955276389,49.4160696729342,1
57iDDD9N9tTWe75x6qhStw,Bitter Sweet Symphony,80,357267,0,['2cGwlqi3k18jFpUyTrsR84'],1997-09-29,0.356,0.917,9,-6.006,1,0.0479,0.0335,0.0,0.406,0.518,171.176,4,1597446.0,"['alternative rock', 'britpop', 'permanent wave', 'pop rock', 'rock', 'shoegaze']",The Verve,70,britpop,1,0.11683142523481,0.479605026124086,239684.02092421,0.706577632033675,0.069682790650944,0.205224368550052,-7.99423846434507,0.0492454082670748,123.263810764781,0.527926880039695,48.1057579610792,11
57iDDD9N9tTWe75x6qhStw,Bitter Sweet Symphony,80,357267,0,['2cGwlqi3k18jFpUyTrsR84'],1997-09-29,0.356,0.917,9,-6.006,1,0.0479,0.0335,0.0,0.406,0.518,171.176,4,1597446.0,"['alternative rock', 'britpop', 'permanent wave', 'pop rock', 'rock', 'shoegaze']",The Verve,70,rock,1,0.163362437828929,0.500635938784411,247358.180277129,0.704803912546273,0.0899178194531325,0.21210520879022,-8.17753890899272,0.0658486696360127,124.566438433677,0.51630734641699,44.6194265288884,9
57iDDD9N9tTWe75x6qhStw,Bitter Sweet Symphony,80,357267,0,['2cGwlqi3k18jFpUyTrsR84'],1997-09-29,0.356,0.917,9,-6.006,1,0.0479,0.0335,0.0,0.406,0.518,171.176,4,1597446.0,"['alternative rock', 'britpop', 'permanent wave', 'pop rock', 'rock', 'shoegaze']",The Verve,70,shoegaze,1,0.193371878578435,0.39944979304084,280870.977422598,0.641587547509961,0.484197698551587,0.174580884840392,-10.1225697544587,0.0412804143058638,126.934301369334,0.385823578520549,43.771494850251,7
0dkvbYmXYEPK7gGMdytmfI,sex money feelings die - slowed version,77,168811,1,['6oBm8HB0yfrIc9IHbxs6in'],2019-10-18,0.797,0.44,5,-6.587,0,0.0594,0.471,1.57e-06,0.0849,0.436,111.014,4,1484200.0,"['art pop', 'dance pop', 'electropop', 'pop', 'swedish electropop', 'swedish indie pop', 'swedish pop']",Lykke Li,72,electropop,1,0.180464128252618,0.637709341279009,229332.17478434,0.67931714372026,0.0565431482335345,0.183917721319204,-6.32736417853499,0.0778115249043976,122.45990295254,0.461862227536481,57.7507092555814,7
